+5.0000001E-02,+1.6088751E-03
+5.2477341E-02,+1.6760506E-03
+5.5077430E-02,+1.7449243E-03
+5.5955958E-02,+1.7678159E-03
+5.7806343E-02,+1.8154010E-03
+6.0670465E-02,+1.8873678E-03
+6.1911911E-02,+1.9179244E-03
+6.3676499E-02,+1.9606948E-03
+6.6831470E-02,+2.0352353E-03
+6.7867868E-02,+2.0591840E-03
+7.0142753E-02,+2.1108256E-03
+7.3618107E-02,+2.1872886E-03
+7.3823825E-02,+2.1917236E-03
+7.7265650E-02,+2.2644338E-03
+7.9779781E-02,+2.3157932E-03
+8.1093922E-02,+2.3420609E-03
+8.5111871E-02,+2.4199635E-03
+8.5735738E-02,+2.4317396E-03
+8.9328900E-02,+2.4979333E-03
+9.1691695E-02,+2.5399809E-03
+9.3754865E-02,+2.5757640E-03
+9.7647645E-02,+2.6409863E-03
+9.8400123E-02,+2.6532575E-03
+1.0327554E-01,+2.7302301E-03
+1.0360360E-01,+2.7352560E-03
+1.0839251E-01,+2.8065175E-03
+1.0955956E-01,+2.8233046E-03
+1.1376303E-01,+2.8819814E-03
+1.1551552E-01,+2.9056482E-03
+1.1939962E-01,+2.9565156E-03
+1.2147147E-01,+2.9827924E-03
+1.2531550E-01,+3.0300512E-03
+1.2742743E-01,+3.0552265E-03
+1.3152449E-01,+3.1025615E-03
+1.3338338E-01,+3.1234149E-03
+1.3804111E-01,+3.1740656E-03
+1.3933934E-01,+3.1877952E-03
+1.4488061E-01,+3.2446312E-03
+1.4529529E-01,+3.2487749E-03
+1.5125126E-01,+3.3067302E-03
+1.5205899E-01,+3.3143763E-03
+1.5720721E-01,+3.3620063E-03
+1.5959305E-01,+3.3834688E-03
+1.6316317E-01,+3.4149177E-03
+1.6750038E-01,+3.4521245E-03
+1.6911912E-01,+3.4657493E-03
+1.7507507E-01,+3.5147581E-03
+1.7579949E-01,+3.5206061E-03
+1.8103103E-01,+3.5621750E-03
+1.8450980E-01,+3.5892171E-03
